SourceSubnet,Out_perc,In_perc
213,5.95904,37.6637
160,3.71592,18.3199
256,0.32759,3.76426
49,0.562497,2.69624
210,1.65076,0.559635
117,1.63141,0.0591363
29,1.20216,0.0531991
206,0.0249559,1.0839
46,0.0490817,0.817718
131,0.0510366,0.813824
195,0.0480171,0.811841
132,0.0524939,0.758482
228,0.0580175,0.68646
2,0.006331,0.737407
124,0.0490089,0.667812
171,0.0511181,0.636083
70,0.049888,0.619056
123,0.0461728,0.622453
128,0.0794972,0.57211
112,0.0381097,0.605565
229,0.0526413,0.582748
169,0.604291,0.0275833
127,0.0407515,0.582078
133,0.0488452,0.553816
161,0.0511516,0.548682
98,0.0494776,0.538558
134,0.0486005,0.464969
122,0.114548,0.308669
73,0.105686,0.311594
198,0.253484,0.161637
143,0.0191185,0.329802
94,0.0522925,0.265411
90,0.0830483,0.197843
235,0.0202616,0.253782
197,0.0402935,0.23248
74,0.0249726,0.234944
151,0.2473,0.00147656
16,0.0281742,0.199265
184,0.0413075,0.15928
48,0.00852594,0.164494
85,0.0676659,0.0987673
170,0.00782821,0.151635
7,0.0129685,0.14226
130,0.0115862,0.13587
119,0.0280877,0.105927
181,0.0164563,0.113278
118,0.0178137,0.108069
51,0.0494446,0.0755299
165,0.0120437,0.103698
168,0.0402833,0.0737387
129,0.00576539,0.099197
234,0.0117529,0.080686
44,0.00792422,0.0828612
221,0.016578,0.0636043
91,0.00597201,0.0667054
225,0.0175231,0.0518027
82,0.00946023,0.05956
239,0.00139767,0.0672178
155,0.00327993,0.0638342
150,0.00426724,0.0623826
65,0.0261825,0.0376354
156,0.00421792,0.0582322
89,0.00846032,0.0535
79,0.00170611,0.0588378
142,0.00165332,0.0576016
59,0.0369398,0.0217059
99,0.0047491,0.049979
178,0.0181714,0.0343734
154,0.00319165,0.0483278
141,0.00384655,0.0460351
215,0.00721564,0.0404293
159,0.00223207,0.0432261
50,0.0036457,0.036821
83,0.00703727,0.0334276
167,0.00629584,0.0329579
180,0.00353301,0.0354669
250,0.00676477,0.0319193
9,0.000565217,0.0371063
246,0.00166525,0.0355862
56,0.00504728,0.0320213
54,0.00103929,0.0331643
149,0.00265707,0.0282802
146,0.00339762,0.0255603
80,0.00533743,0.0230699
145,0.000287269,0.0273223
191,0.000864862,0.0262066
224,0.00233668,0.0236146
4,0.00261021,0.0205393
35,0.00379744,0.0190913
196,0.000442628,0.022122
77,0.00206754,0.0201327
222,0.00650625,0.0156378
164,0.00155334,0.0204598
57,0.0010972,0.0209044
166,0.000945053,0.0210474
203,0.00117079,0.0188414
179,0.00671082,0.0105762
52,0.00106119,0.0138715
6,0.000482107,0.0118706
115,0.000383257,0.0116795
236,0.00110209,0.00916167
58,0.00066224,0.00825476
84,0.000862783,0.00749018
207,0.000725808,0.00722421
190,0.00216636,0.00531479
120,0.000375067,0.00667919
138,0.000240993,0.00667364
200,0.00123277,0.00567458
92,0.000805241,0.00547098
209,0.00483398,0.00127321
226,0.000400655,0.0055752
242,0.00185502,0.00338815
81,0.004476,0.000528263
125,0.00277112,0.0017756
208,0.00163124,0.00282595
14,0.000111998,0.00429639
241,0.000146809,0.00405687
183,0.000718455,0.00327514
248,3.49866e-05,0.00359134
5,0.00024641,0.00317812
176,0.000131904,0.0032012
63,0.000116543,0.0032139
144,8.82409e-05,0.00298217
175,4.96932e-05,0.00255884
110,6.16068e-05,0.00248499
173,0.000572809,0.00155503
75,0.000127407,0.0016705
174,0.000177587,0.00152086
28,1.12232e-05,0.00166592
21,0.000118659,0.00117988
214,1.32163e-05,0.00121553
96,0.00073255,0.000425179
153,4.3416e-05,0.000893106
3,3.45856e-05,0.000860854
55,3.99815e-05,0.00055832
135,4.42056e-05,0.000365858
23,1.01863e-05,0.000399215
33,6.41387e-05,0.000183466
192,2.60136e-05,0.000214646
11,1.0295e-05,0.000199838
86,8.41959e-05,9.52939e-05
199,0.000125847,9.08732e-06
111,4.8246e-05,2.62211e-05
19,3.16642e-05,3.6842e-05
114,4.14284e-06,5.28727e-05
220,2.90028e-05,2.25137e-05
126,8.32929e-06,3.58153e-05
43,2.18581e-05,1.95285e-05
72,2.39178e-05,1.16854e-05
68,2.83409e-05,7.01626e-06
177,3.73341e-06,2.06652e-05
26,1.31232e-06,2.2615e-05
202,1.11765e-05,9.18462e-06
53,6.65962e-06,1.21849e-05
13,2.97233e-06,1.56918e-05
38,8.37244e-06,9.48928e-06
40,2.40371e-06,1.37634e-05
157,3.37566e-06,1.02369e-05
0,7.80039e-07,9.73651e-06
139,3.26235e-06,7.24545e-06
230,7.06167e-07,8.89679e-06
204,7.45686e-07,8.85718e-06
22,3.76287e-07,8.79413e-06
245,6.93002e-07,8.40098e-06
163,1.7041e-07,8.91722e-06
212,5.24489e-07,8.54819e-06
37,1.74529e-06,7.26181e-06
121,4.56298e-07,8.45461e-06
172,4.43619e-07,8.35501e-06
42,4.7328e-07,8.31537e-06
193,1.24467e-06,7.53284e-06
187,4.01115e-07,8.35652e-06
60,1.70241e-06,6.99976e-06
97,1.63859e-06,7.04834e-06
34,1.22921e-06,7.40269e-06
189,8.88101e-07,7.738e-06
45,4.65041e-07,8.13561e-06
88,8.57441e-08,8.05544e-06
252,9.07197e-08,7.9716e-06
233,4.29334e-07,7.58412e-06
140,7.60197e-08,7.92448e-06
227,4.6091e-07,7.50118e-06
211,8.83288e-08,7.8564e-06
25,1.19615e-07,7.74863e-06
47,4.82057e-07,7.36281e-06
249,7.26809e-07,7.0718e-06
201,9.78142e-08,7.69617e-06
67,9.21661e-08,7.69379e-06
147,9.09375e-08,7.67133e-06
251,8.10992e-08,7.65451e-06
18,4.08118e-07,7.30333e-06
254,8.01918e-08,7.52039e-06
243,4.09161e-07,7.13516e-06
223,2.81792e-07,7.24686e-06
216,8.51966e-08,7.42604e-06
12,5.58613e-07,6.95032e-06
62,1.00153e-07,7.37709e-06
24,7.84845e-08,7.38717e-06
194,9.62895e-08,7.34939e-06
32,7.96834e-08,7.33077e-06
1,9.36707e-08,7.31485e-06
158,8.85325e-08,7.28994e-06
27,8.62625e-08,7.29109e-06
17,1.96573e-07,7.17889e-06
188,1.99138e-07,7.16198e-06
36,9.15629e-08,7.25415e-06
93,3.00128e-07,7.03236e-06
232,4.52921e-07,6.87769e-06
113,4.23705e-07,6.8894e-06
116,3.98041e-07,6.88659e-06
71,9.2277e-08,7.17986e-06
39,2.28898e-07,7.0276e-06
218,9.33972e-08,7.13913e-06
162,9.24667e-08,7.13402e-06
95,8.44106e-08,7.13983e-06
31,8.43634e-08,7.11892e-06
219,7.94691e-08,7.10948e-06
41,8.89646e-08,7.09729e-06
238,8.93968e-08,7.06837e-06
69,7.36132e-08,7.04988e-06
8,1.88167e-07,6.91312e-06
20,8.21718e-08,7.00231e-06
247,8.58249e-08,6.97872e-06
66,4.161e-07,6.62504e-06
217,2.12894e-07,6.82618e-06
231,8.00824e-08,6.90847e-06
15,1.749e-07,6.78821e-06
237,8.80382e-08,6.86728e-06
244,9.07222e-08,6.86072e-06
87,1.08938e-07,6.83144e-06
64,8.34164e-08,6.8366e-06
186,8.68342e-08,6.7943e-06
76,9.25019e-08,6.7861e-06
152,8.48392e-08,6.78422e-06
182,1.74566e-07,6.67816e-06
30,9.32933e-08,6.74733e-06
185,9.14765e-08,6.73978e-06
136,8.52894e-08,6.7411e-06
240,9.01772e-08,6.72178e-06
148,8.41828e-08,6.72284e-06
255,8.88889e-08,6.71246e-06
78,7.89005e-08,6.71388e-06
253,8.251e-08,6.69158e-06
137,7.20755e-08,6.65693e-06
205,8.46299e-08,6.63268e-06
61,8.50631e-08,6.59752e-06
